, ,Number of genomes,gene_class
2962,Cluster 2962,63,accessory
2963,Cluster 2963,63,accessory
2964,Cluster 2964,7,unique
2965,Cluster 2965,39,accessory
2966,Cluster 2966,9,unique
2967,Cluster 2967,20,accessory
2968,Cluster 2968,1,unique
2969,Cluster 2969,40,accessory
2970,Cluster 2970,1,unique
2971,Cluster 2971,4,unique
2972,Cluster 2972,3,unique
2973,Cluster 2973,2,unique
2974,Cluster 2974,1,unique
2975,Cluster 2975,1,unique
2976,Cluster 2976,63,accessory
2977,Cluster 2977,22,accessory
2978,Cluster 2978,63,accessory
2979,Cluster 2979,63,accessory
2980,Cluster 2980,63,accessory
2981,Cluster 2981,63,accessory
2982,Cluster 2982,63,accessory
2983,Cluster 2983,63,accessory
2984,Cluster 2984,63,accessory
2985,Cluster 2985,27,accessory
2986,Cluster 2986,63,accessory
2987,Cluster 2987,18,accessory
2988,Cluster 2988,7,unique
2989,Cluster 2989,22,accessory
2990,Cluster 2990,1,unique
2991,Cluster 2991,3,unique
2992,Cluster 2992,5,unique
2993,Cluster 2993,2,unique
2994,Cluster 2994,1,unique
2995,Cluster 2995,1,unique
2996,Cluster 2996,2,unique
2997,Cluster 2997,1,unique
2998,Cluster 2998,3,unique
2999,Cluster 2999,1,unique
3000,Cluster 3000,63,accessory
3001,Cluster 3001,63,accessory
3002,Cluster 3002,63,accessory
3003,Cluster 3003,56,accessory
3004,Cluster 3004,9,unique
3005,Cluster 3005,14,accessory
3006,Cluster 3006,1,unique
3007,Cluster 3007,5,unique
3008,Cluster 3008,4,unique
3009,Cluster 3009,1,unique
3010,Cluster 3010,3,unique
3011,Cluster 3011,5,unique
3012,Cluster 3012,3,unique
3013,Cluster 3013,1,unique
3014,Cluster 3014,1,unique
3015,Cluster 3015,60,accessory
3016,Cluster 3016,36,accessory
3017,Cluster 3017,63,accessory
3018,Cluster 3018,63,accessory
3019,Cluster 3019,122,accessory
3020,Cluster 3020,63,accessory
3021,Cluster 3021,29,accessory
3022,Cluster 3022,21,accessory
3023,Cluster 3023,14,accessory
3024,Cluster 3024,1,unique
3025,Cluster 3025,1,unique
3026,Cluster 3026,1,unique
3027,Cluster 3027,63,accessory
3028,Cluster 3028,61,accessory
3029,Cluster 3029,63,accessory
3030,Cluster 3030,36,accessory
3031,Cluster 3031,63,accessory
3032,Cluster 3032,63,accessory
3033,Cluster 3033,63,accessory
3034,Cluster 3034,2,unique
3035,Cluster 3035,5,unique
3036,Cluster 3036,3,unique
3037,Cluster 3037,4,unique
3038,Cluster 3038,1,unique
3039,Cluster 3039,3,unique
3040,Cluster 3040,2,unique
3041,Cluster 3041,1,unique
3042,Cluster 3042,63,accessory
3043,Cluster 3043,63,accessory
3044,Cluster 3044,63,accessory
3045,Cluster 3045,63,accessory
3046,Cluster 3046,63,accessory
3047,Cluster 3047,61,accessory
3048,Cluster 3048,39,accessory
3049,Cluster 3049,63,accessory
3050,Cluster 3050,26,accessory
3051,Cluster 3051,47,accessory
3052,Cluster 3052,2,unique
3053,Cluster 3053,15,accessory
3054,Cluster 3054,21,accessory
3055,Cluster 3055,2,unique
3056,Cluster 3056,5,unique
3057,Cluster 3057,1,unique
3058,Cluster 3058,2,unique
3059,Cluster 3059,3,unique
3060,Cluster 3060,2,unique
3061,Cluster 3061,1,unique
3062,Cluster 3062,1,unique
3063,Cluster 3063,63,accessory
3064,Cluster 3064,63,accessory
3065,Cluster 3065,13,unique
3066,Cluster 3066,63,accessory
3067,Cluster 3067,63,accessory
3068,Cluster 3068,63,accessory
3069,Cluster 3069,63,accessory
3070,Cluster 3070,4,unique
3071,Cluster 3071,26,accessory
3072,Cluster 3072,18,accessory
3073,Cluster 3073,15,accessory
3074,Cluster 3074,5,unique
3075,Cluster 3075,1,unique
3076,Cluster 3076,1,unique
3077,Cluster 3077,9,unique
3078,Cluster 3078,3,unique
3079,Cluster 3079,1,unique
3080,Cluster 3080,1,unique
3081,Cluster 3081,63,accessory
3082,Cluster 3082,63,accessory
3083,Cluster 3083,63,accessory
3084,Cluster 3084,55,accessory
3085,Cluster 3085,63,accessory
3086,Cluster 3086,63,accessory
3087,Cluster 3087,25,accessory
3088,Cluster 3088,6,unique
3089,Cluster 3089,15,accessory
3090,Cluster 3090,5,unique
3091,Cluster 3091,4,unique
3092,Cluster 3092,6,unique
3093,Cluster 3093,2,unique
3094,Cluster 3094,1,unique
3095,Cluster 3095,6,unique
3096,Cluster 3096,3,unique
3097,Cluster 3097,1,unique
3098,Cluster 3098,4,unique
3099,Cluster 3099,63,accessory
3100,Cluster 3100,56,accessory
3101,Cluster 3101,63,accessory
3102,Cluster 3102,48,accessory
3103,Cluster 3103,25,accessory
3104,Cluster 3104,25,accessory
3105,Cluster 3105,1,unique
3106,Cluster 3106,6,unique
3107,Cluster 3107,8,unique
3108,Cluster 3108,1,unique
3109,Cluster 3109,1,unique
3110,Cluster 3110,10,unique
3111,Cluster 3111,1,unique
3112,Cluster 3112,1,unique
3113,Cluster 3113,3,unique
3114,Cluster 3114,1,unique
3115,Cluster 3115,1,unique
3116,Cluster 3116,63,accessory
3117,Cluster 3117,63,accessory
3118,Cluster 3118,63,accessory
3119,Cluster 3119,46,accessory
3120,Cluster 3120,63,accessory
3121,Cluster 3121,43,accessory
3122,Cluster 3122,15,accessory
3123,Cluster 3123,1,unique
3124,Cluster 3124,4,unique
3125,Cluster 3125,18,accessory
3126,Cluster 3126,23,accessory
3127,Cluster 3127,23,accessory
3128,Cluster 3128,63,accessory
3129,Cluster 3129,2,unique
3130,Cluster 3130,1,unique
3131,Cluster 3131,2,unique
3132,Cluster 3132,1,unique
3133,Cluster 3133,1,unique
3134,Cluster 3134,3,unique
3135,Cluster 3135,2,unique
3136,Cluster 3136,1,unique
3137,Cluster 3137,57,accessory
3138,Cluster 3138,1,unique
3139,Cluster 3139,63,accessory
3140,Cluster 3140,62,accessory
3141,Cluster 3141,63,accessory
3142,Cluster 3142,63,accessory
3143,Cluster 3143,36,accessory
3144,Cluster 3144,63,accessory
3145,Cluster 3145,63,accessory
3146,Cluster 3146,1,unique
3147,Cluster 3147,46,accessory
3148,Cluster 3148,1,unique
3149,Cluster 3149,6,unique
3150,Cluster 3150,9,unique
3151,Cluster 3151,22,accessory
3152,Cluster 3152,5,unique
3153,Cluster 3153,1,unique
3154,Cluster 3154,1,unique
3155,Cluster 3155,3,unique
3156,Cluster 3156,4,unique
3157,Cluster 3157,1,unique
3158,Cluster 3158,1,unique
3159,Cluster 3159,63,accessory
3160,Cluster 3160,63,accessory
3161,Cluster 3161,63,accessory
3162,Cluster 3162,63,accessory
3163,Cluster 3163,6,unique
3164,Cluster 3164,22,accessory
3165,Cluster 3165,2,unique
3166,Cluster 3166,1,unique
3167,Cluster 3167,1,unique
3168,Cluster 3168,1,unique
3169,Cluster 3169,3,unique
3170,Cluster 3170,6,unique
3171,Cluster 3171,1,unique
3172,Cluster 3172,62,accessory
3173,Cluster 3173,63,accessory
3174,Cluster 3174,63,accessory
3175,Cluster 3175,57,accessory
3176,Cluster 3176,62,accessory
3177,Cluster 3177,63,accessory
3178,Cluster 3178,62,accessory
3179,Cluster 3179,63,accessory
3180,Cluster 3180,63,accessory
3181,Cluster 3181,25,accessory
3182,Cluster 3182,1,unique
3183,Cluster 3183,12,unique
3184,Cluster 3184,4,unique
3185,Cluster 3185,1,unique
3186,Cluster 3186,4,unique
3187,Cluster 3187,1,unique
3188,Cluster 3188,3,unique
3189,Cluster 3189,63,accessory
3190,Cluster 3190,1,unique
3191,Cluster 3191,1,unique
3192,Cluster 3192,63,accessory
3193,Cluster 3193,63,accessory
3194,Cluster 3194,62,accessory
3195,Cluster 3195,63,accessory
3196,Cluster 3196,7,unique
3197,Cluster 3197,23,accessory
3198,Cluster 3198,25,accessory
3199,Cluster 3199,13,unique
3200,Cluster 3200,15,accessory
3201,Cluster 3201,1,unique
3202,Cluster 3202,2,unique
3203,Cluster 3203,13,unique
3204,Cluster 3204,1,unique
3205,Cluster 3205,1,unique
3206,Cluster 3206,1,unique
3207,Cluster 3207,63,accessory
3208,Cluster 3208,63,accessory
3209,Cluster 3209,17,accessory
3210,Cluster 3210,63,accessory
3211,Cluster 3211,62,accessory
3212,Cluster 3212,3,unique
3213,Cluster 3213,63,accessory
3214,Cluster 3214,40,accessory
3215,Cluster 3215,33,accessory
3216,Cluster 3216,4,unique
3217,Cluster 3217,8,unique
3218,Cluster 3218,6,unique
3219,Cluster 3219,1,unique
3220,Cluster 3220,63,accessory
3221,Cluster 3221,63,accessory
3222,Cluster 3222,63,accessory
3223,Cluster 3223,63,accessory
3224,Cluster 3224,63,accessory
3225,Cluster 3225,63,accessory
3226,Cluster 3226,63,accessory
3227,Cluster 3227,40,accessory
3228,Cluster 3228,63,accessory
3229,Cluster 3229,63,accessory
3230,Cluster 3230,64,accessory
3231,Cluster 3231,12,unique
3232,Cluster 3232,14,accessory
3233,Cluster 3233,15,accessory
3234,Cluster 3234,2,unique
3235,Cluster 3235,15,accessory
3236,Cluster 3236,1,unique
3237,Cluster 3237,1,unique
3238,Cluster 3238,1,unique
3239,Cluster 3239,63,accessory
3240,Cluster 3240,63,accessory
3241,Cluster 3241,63,accessory
3242,Cluster 3242,63,accessory
3243,Cluster 3243,13,unique
3244,Cluster 3244,13,unique
3245,Cluster 3245,1,unique
3246,Cluster 3246,15,accessory
3247,Cluster 3247,1,unique
3248,Cluster 3248,1,unique
3249,Cluster 3249,1,unique
3250,Cluster 3250,2,unique
3251,Cluster 3251,54,accessory
3252,Cluster 3252,40,accessory
3253,Cluster 3253,63,accessory
3254,Cluster 3254,12,unique
3255,Cluster 3255,29,accessory
3256,Cluster 3256,1,unique
3257,Cluster 3257,5,unique
3258,Cluster 3258,5,unique
3259,Cluster 3259,1,unique
3260,Cluster 3260,2,unique
3261,Cluster 3261,2,unique
3262,Cluster 3262,1,unique
3263,Cluster 3263,1,unique
3264,Cluster 3264,1,unique
3265,Cluster 3265,63,accessory
3266,Cluster 3266,63,accessory
3267,Cluster 3267,63,accessory
3268,Cluster 3268,63,accessory
3269,Cluster 3269,48,accessory
3270,Cluster 3270,34,accessory
3271,Cluster 3271,22,accessory
3272,Cluster 3272,9,unique
3273,Cluster 3273,4,unique
3274,Cluster 3274,9,unique
3275,Cluster 3275,63,accessory
3276,Cluster 3276,5,unique
3277,Cluster 3277,2,unique
3278,Cluster 3278,2,unique
3279,Cluster 3279,3,unique
3280,Cluster 3280,2,unique
3281,Cluster 3281,2,unique
3282,Cluster 3282,58,accessory
3283,Cluster 3283,63,accessory
3284,Cluster 3284,63,accessory
3285,Cluster 3285,14,accessory
3286,Cluster 3286,61,accessory
3287,Cluster 3287,63,accessory
3288,Cluster 3288,63,accessory
3289,Cluster 3289,117,accessory
3290,Cluster 3290,63,accessory
3291,Cluster 3291,26,accessory
3292,Cluster 3292,12,unique
3293,Cluster 3293,2,unique
3294,Cluster 3294,3,unique
3295,Cluster 3295,9,unique
3296,Cluster 3296,4,unique
3297,Cluster 3297,3,unique
3298,Cluster 3298,1,unique
3299,Cluster 3299,35,accessory
3300,Cluster 3300,61,accessory
3301,Cluster 3301,63,accessory
3302,Cluster 3302,62,accessory
3303,Cluster 3303,63,accessory
3304,Cluster 3304,61,accessory
3305,Cluster 3305,13,unique
3306,Cluster 3306,59,accessory
3307,Cluster 3307,63,accessory
3308,Cluster 3308,5,unique
3309,Cluster 3309,5,unique
3310,Cluster 3310,4,unique
3311,Cluster 3311,7,unique
3312,Cluster 3312,1,unique
3313,Cluster 3313,1,unique
3314,Cluster 3314,1,unique
3315,Cluster 3315,1,unique
3316,Cluster 3316,1,unique
3317,Cluster 3317,1,unique
3318,Cluster 3318,1,unique
3319,Cluster 3319,63,accessory
3320,Cluster 3320,63,accessory
3321,Cluster 3321,63,accessory
3322,Cluster 3322,63,accessory
3323,Cluster 3323,63,accessory
3324,Cluster 3324,7,unique
3325,Cluster 3325,33,accessory
3326,Cluster 3326,41,accessory
3327,Cluster 3327,5,unique
3328,Cluster 3328,24,accessory
3329,Cluster 3329,1,unique
3330,Cluster 3330,5,unique
3331,Cluster 3331,5,unique
3332,Cluster 3332,5,unique
3333,Cluster 3333,7,unique
3334,Cluster 3334,1,unique
3335,Cluster 3335,9,unique
3336,Cluster 3336,5,unique
3337,Cluster 3337,7,unique
3338,Cluster 3338,1,unique
3339,Cluster 3339,3,unique
3340,Cluster 3340,1,unique
3341,Cluster 3341,1,unique
3342,Cluster 3342,1,unique
3343,Cluster 3343,1,unique
3344,Cluster 3344,63,accessory
3345,Cluster 3345,63,accessory
3346,Cluster 3346,63,accessory
3347,Cluster 3347,13,unique
3348,Cluster 3348,63,accessory
3349,Cluster 3349,57,accessory
3350,Cluster 3350,8,unique
3351,Cluster 3351,63,accessory
3352,Cluster 3352,63,accessory
3353,Cluster 3353,2,unique
3354,Cluster 3354,26,accessory
3355,Cluster 3355,1,unique
3356,Cluster 3356,16,accessory
3357,Cluster 3357,1,unique
3358,Cluster 3358,76,accessory
3359,Cluster 3359,36,accessory
3360,Cluster 3360,35,accessory
3361,Cluster 3361,1,unique
3362,Cluster 3362,8,unique
3363,Cluster 3363,1,unique
3364,Cluster 3364,8,unique
3365,Cluster 3365,1,unique
3366,Cluster 3366,1,unique
3367,Cluster 3367,2,unique
3368,Cluster 3368,4,unique
3369,Cluster 3369,2,unique
3370,Cluster 3370,1,unique
3371,Cluster 3371,1,unique
3372,Cluster 3372,8,unique
3373,Cluster 3373,1,unique
3374,Cluster 3374,1,unique
3375,Cluster 3375,56,accessory
3376,Cluster 3376,15,accessory
3377,Cluster 3377,38,accessory
3378,Cluster 3378,61,accessory
3379,Cluster 3379,51,accessory
3380,Cluster 3380,63,accessory
3381,Cluster 3381,3,unique
3382,Cluster 3382,12,unique
3383,Cluster 3383,12,unique
3384,Cluster 3384,19,accessory
3385,Cluster 3385,2,unique
3386,Cluster 3386,2,unique
3387,Cluster 3387,1,unique
3388,Cluster 3388,2,unique
3389,Cluster 3389,7,unique
3390,Cluster 3390,1,unique
3391,Cluster 3391,63,accessory
3392,Cluster 3392,63,accessory
3393,Cluster 3393,63,accessory
3394,Cluster 3394,35,accessory
3395,Cluster 3395,48,accessory
3396,Cluster 3396,6,unique
3397,Cluster 3397,12,unique
3398,Cluster 3398,2,unique
3399,Cluster 3399,4,unique
3400,Cluster 3400,1,unique
3401,Cluster 3401,2,unique
3402,Cluster 3402,3,unique
3403,Cluster 3403,1,unique
3404,Cluster 3404,63,accessory
3405,Cluster 3405,63,accessory
3406,Cluster 3406,63,accessory
3407,Cluster 3407,63,accessory
3408,Cluster 3408,17,accessory
3409,Cluster 3409,2,unique
3410,Cluster 3410,29,accessory
3411,Cluster 3411,63,accessory
3412,Cluster 3412,63,accessory
3413,Cluster 3413,21,accessory
3414,Cluster 3414,1,unique
3415,Cluster 3415,1,unique
3416,Cluster 3416,30,accessory
3417,Cluster 3417,2,unique
3418,Cluster 3418,2,unique
3419,Cluster 3419,2,unique
3420,Cluster 3420,1,unique
3421,Cluster 3421,3,unique
3422,Cluster 3422,1,unique
3423,Cluster 3423,1,unique
3424,Cluster 3424,3,unique
3425,Cluster 3425,63,accessory
3426,Cluster 3426,63,accessory
3427,Cluster 3427,63,accessory
3428,Cluster 3428,61,accessory
3429,Cluster 3429,63,accessory
3430,Cluster 3430,31,accessory
3431,Cluster 3431,34,accessory
3432,Cluster 3432,20,accessory
3433,Cluster 3433,23,accessory
3434,Cluster 3434,15,accessory
3435,Cluster 3435,9,unique
3436,Cluster 3436,3,unique
3437,Cluster 3437,1,unique
3438,Cluster 3438,10,unique
3439,Cluster 3439,3,unique
3440,Cluster 3440,1,unique
3441,Cluster 3441,1,unique
3442,Cluster 3442,1,unique
3443,Cluster 3443,63,accessory
3444,Cluster 3444,63,accessory
3445,Cluster 3445,63,accessory
3446,Cluster 3446,25,accessory
3447,Cluster 3447,20,accessory
3448,Cluster 3448,5,unique
3449,Cluster 3449,1,unique
3450,Cluster 3450,12,unique
3451,Cluster 3451,4,unique
3452,Cluster 3452,5,unique
3453,Cluster 3453,1,unique
3454,Cluster 3454,2,unique
3455,Cluster 3455,4,unique
3456,Cluster 3456,1,unique
3457,Cluster 3457,64,accessory
3458,Cluster 3458,63,accessory
3459,Cluster 3459,63,accessory
3460,Cluster 3460,63,accessory
3461,Cluster 3461,4,unique
3462,Cluster 3462,1,unique
3463,Cluster 3463,21,accessory
3464,Cluster 3464,22,accessory
3465,Cluster 3465,1,unique
3466,Cluster 3466,4,unique
3467,Cluster 3467,1,unique
3468,Cluster 3468,1,unique
3469,Cluster 3469,1,unique
3470,Cluster 3470,4,unique
3471,Cluster 3471,4,unique
3472,Cluster 3472,6,unique
3473,Cluster 3473,1,unique
3474,Cluster 3474,62,accessory
3475,Cluster 3475,63,accessory
3476,Cluster 3476,62,accessory
3477,Cluster 3477,62,accessory
3478,Cluster 3478,6,unique
3479,Cluster 3479,17,accessory
3480,Cluster 3480,63,accessory
3481,Cluster 3481,1,unique
3482,Cluster 3482,27,accessory
3483,Cluster 3483,4,unique
3484,Cluster 3484,2,unique
3485,Cluster 3485,1,unique
3486,Cluster 3486,1,unique
3487,Cluster 3487,63,accessory
3488,Cluster 3488,63,accessory
3489,Cluster 3489,63,accessory
3490,Cluster 3490,63,accessory
3491,Cluster 3491,63,accessory
3492,Cluster 3492,63,accessory
3493,Cluster 3493,63,accessory
3494,Cluster 3494,63,accessory
3495,Cluster 3495,8,unique
3496,Cluster 3496,23,accessory
3497,Cluster 3497,5,unique
3498,Cluster 3498,1,unique
3499,Cluster 3499,3,unique
3500,Cluster 3500,74,accessory
3501,Cluster 3501,1,unique
3502,Cluster 3502,1,unique
3503,Cluster 3503,2,unique
3504,Cluster 3504,2,unique
3505,Cluster 3505,1,unique
3506,Cluster 3506,2,unique
3507,Cluster 3507,3,unique
3508,Cluster 3508,63,accessory
3509,Cluster 3509,63,accessory
3510,Cluster 3510,63,accessory
3511,Cluster 3511,57,accessory
3512,Cluster 3512,63,accessory
3513,Cluster 3513,63,accessory
3514,Cluster 3514,63,accessory
3515,Cluster 3515,63,accessory
3516,Cluster 3516,4,unique
3517,Cluster 3517,1,unique
3518,Cluster 3518,4,unique
3519,Cluster 3519,15,accessory
3520,Cluster 3520,22,accessory
3521,Cluster 3521,57,accessory
3522,Cluster 3522,23,accessory
3523,Cluster 3523,2,unique
3524,Cluster 3524,6,unique
3525,Cluster 3525,1,unique
3526,Cluster 3526,9,unique
3527,Cluster 3527,2,unique
3528,Cluster 3528,3,unique
3529,Cluster 3529,1,unique
3530,Cluster 3530,5,unique
3531,Cluster 3531,1,unique
3532,Cluster 3532,63,accessory
3533,Cluster 3533,63,accessory
3534,Cluster 3534,63,accessory
3535,Cluster 3535,63,accessory
3536,Cluster 3536,1,unique
3537,Cluster 3537,15,accessory
3538,Cluster 3538,4,unique
3539,Cluster 3539,1,unique
3540,Cluster 3540,4,unique
3541,Cluster 3541,1,unique
3542,Cluster 3542,1,unique
3543,Cluster 3543,28,accessory
3544,Cluster 3544,1,unique
3545,Cluster 3545,1,unique
3546,Cluster 3546,1,unique
3547,Cluster 3547,1,unique
3548,Cluster 3548,1,unique
3549,Cluster 3549,63,accessory
3550,Cluster 3550,62,accessory
3551,Cluster 3551,62,accessory
3552,Cluster 3552,11,unique
3553,Cluster 3553,63,accessory
3554,Cluster 3554,8,unique
3555,Cluster 3555,4,unique
3556,Cluster 3556,9,unique
3557,Cluster 3557,20,accessory
3558,Cluster 3558,1,unique
3559,Cluster 3559,1,unique
3560,Cluster 3560,1,unique
3561,Cluster 3561,2,unique
3562,Cluster 3562,2,unique
3563,Cluster 3563,3,unique
3564,Cluster 3564,1,unique
3565,Cluster 3565,1,unique
3566,Cluster 3566,1,unique
3567,Cluster 3567,1,unique
3568,Cluster 3568,1,unique
3569,Cluster 3569,7,unique
3570,Cluster 3570,58,accessory
3571,Cluster 3571,63,accessory
3572,Cluster 3572,63,accessory
3573,Cluster 3573,1,unique
3574,Cluster 3574,63,accessory
3575,Cluster 3575,36,accessory
3576,Cluster 3576,2,unique
3577,Cluster 3577,12,unique
3578,Cluster 3578,19,accessory
3579,Cluster 3579,1,unique
3580,Cluster 3580,1,unique
3581,Cluster 3581,1,unique
3582,Cluster 3582,1,unique
3583,Cluster 3583,1,unique
3584,Cluster 3584,2,unique
3585,Cluster 3585,1,unique
3586,Cluster 3586,63,accessory
3587,Cluster 3587,63,accessory
3588,Cluster 3588,58,accessory
3589,Cluster 3589,63,accessory
3590,Cluster 3590,63,accessory
3591,Cluster 3591,63,accessory
3592,Cluster 3592,50,accessory
3593,Cluster 3593,10,unique
3594,Cluster 3594,4,unique
3595,Cluster 3595,4,unique
3596,Cluster 3596,5,unique
3597,Cluster 3597,1,unique
3598,Cluster 3598,1,unique
3599,Cluster 3599,6,unique
3600,Cluster 3600,2,unique
3601,Cluster 3601,1,unique
3602,Cluster 3602,1,unique
3603,Cluster 3603,1,unique
3604,Cluster 3604,1,unique
3605,Cluster 3605,1,unique
3606,Cluster 3606,63,accessory
3607,Cluster 3607,63,accessory
3608,Cluster 3608,63,accessory
3609,Cluster 3609,37,accessory
3610,Cluster 3610,2,unique
3611,Cluster 3611,63,accessory
3612,Cluster 3612,36,accessory
3613,Cluster 3613,1,unique
3614,Cluster 3614,2,unique
3615,Cluster 3615,1,unique
3616,Cluster 3616,1,unique
3617,Cluster 3617,2,unique
3618,Cluster 3618,3,unique
3619,Cluster 3619,4,unique
3620,Cluster 3620,63,accessory
3621,Cluster 3621,63,accessory
3622,Cluster 3622,63,accessory
3623,Cluster 3623,63,accessory
3624,Cluster 3624,57,accessory
3625,Cluster 3625,24,accessory
3626,Cluster 3626,2,unique
3627,Cluster 3627,1,unique
3628,Cluster 3628,2,unique
3629,Cluster 3629,5,unique
3630,Cluster 3630,1,unique
3631,Cluster 3631,3,unique
3632,Cluster 3632,1,unique
3633,Cluster 3633,54,accessory
3634,Cluster 3634,63,accessory
3635,Cluster 3635,63,accessory
3636,Cluster 3636,63,accessory
3637,Cluster 3637,63,accessory
3638,Cluster 3638,63,accessory
3639,Cluster 3639,61,accessory
3640,Cluster 3640,30,accessory
3641,Cluster 3641,3,unique
3642,Cluster 3642,26,accessory
3643,Cluster 3643,3,unique
3644,Cluster 3644,1,unique
3645,Cluster 3645,15,accessory
3646,Cluster 3646,6,unique
3647,Cluster 3647,3,unique
3648,Cluster 3648,1,unique
3649,Cluster 3649,7,unique
3650,Cluster 3650,63,accessory
3651,Cluster 3651,63,accessory
3652,Cluster 3652,57,accessory
3653,Cluster 3653,2,unique
3654,Cluster 3654,2,unique
3655,Cluster 3655,4,unique
3656,Cluster 3656,7,unique
3657,Cluster 3657,1,unique
3658,Cluster 3658,4,unique
3659,Cluster 3659,1,unique
3660,Cluster 3660,3,unique
3661,Cluster 3661,1,unique
3662,Cluster 3662,24,accessory
3663,Cluster 3663,63,accessory
3664,Cluster 3664,7,unique
3665,Cluster 3665,63,accessory
3666,Cluster 3666,63,accessory
3667,Cluster 3667,63,accessory
3668,Cluster 3668,7,unique
3669,Cluster 3669,6,unique
