, ,Number of genomes
13119,Cluster 13119,1
13120,Cluster 13120,2
13121,Cluster 13121,1
13122,Cluster 13122,2
13123,Cluster 13123,1
13124,Cluster 13124,1
13125,Cluster 13125,1
13126,Cluster 13126,1
13127,Cluster 13127,1
13128,Cluster 13128,1
13129,Cluster 13129,1
13130,Cluster 13130,24
13131,Cluster 13131,3
13132,Cluster 13132,1
13133,Cluster 13133,1
13134,Cluster 13134,1
13135,Cluster 13135,1
13136,Cluster 13136,1
13137,Cluster 13137,1
13138,Cluster 13138,1
13139,Cluster 13139,1
13140,Cluster 13140,1
13141,Cluster 13141,63
13142,Cluster 13142,58
13143,Cluster 13143,57
13144,Cluster 13144,16
13145,Cluster 13145,63
13146,Cluster 13146,63
13147,Cluster 13147,3
13148,Cluster 13148,63
13149,Cluster 13149,4
13150,Cluster 13150,2
13151,Cluster 13151,22
13152,Cluster 13152,14
13153,Cluster 13153,2
13154,Cluster 13154,1
13155,Cluster 13155,63
13156,Cluster 13156,16
13157,Cluster 13157,18
13158,Cluster 13158,2
13159,Cluster 13159,2
13160,Cluster 13160,1
13161,Cluster 13161,6
13162,Cluster 13162,3
13163,Cluster 13163,1
13164,Cluster 13164,5
13165,Cluster 13165,4
13166,Cluster 13166,2
13167,Cluster 13167,4
13168,Cluster 13168,3
13169,Cluster 13169,1
13170,Cluster 13170,1
13171,Cluster 13171,51
13172,Cluster 13172,7
13173,Cluster 13173,2
13174,Cluster 13174,1
13175,Cluster 13175,39
13176,Cluster 13176,1
13177,Cluster 13177,1
13178,Cluster 13178,1
13179,Cluster 13179,1
13180,Cluster 13180,3
13181,Cluster 13181,3
13182,Cluster 13182,2
13183,Cluster 13183,1
13184,Cluster 13184,2
13185,Cluster 13185,3
13186,Cluster 13186,63
13187,Cluster 13187,3
13188,Cluster 13188,1
13189,Cluster 13189,1
13190,Cluster 13190,2
13191,Cluster 13191,1
13192,Cluster 13192,1
13193,Cluster 13193,1
13194,Cluster 13194,1
13195,Cluster 13195,3
13196,Cluster 13196,2
13197,Cluster 13197,2
13198,Cluster 13198,3
13199,Cluster 13199,1
13200,Cluster 13200,63
13201,Cluster 13201,63
13202,Cluster 13202,63
13203,Cluster 13203,22
13204,Cluster 13204,15
13205,Cluster 13205,63
13206,Cluster 13206,62
13207,Cluster 13207,63
13208,Cluster 13208,40
13209,Cluster 13209,3
13210,Cluster 13210,63
13211,Cluster 13211,63
13212,Cluster 13212,63
13213,Cluster 13213,24
13214,Cluster 13214,2
13215,Cluster 13215,47
13216,Cluster 13216,2
13217,Cluster 13217,1
13218,Cluster 13218,1
13219,Cluster 13219,10
13220,Cluster 13220,29
13221,Cluster 13221,15
13222,Cluster 13222,18
13223,Cluster 13223,23
13224,Cluster 13224,15
13225,Cluster 13225,7
13226,Cluster 13226,1
13227,Cluster 13227,10
13228,Cluster 13228,1
13229,Cluster 13229,9
13230,Cluster 13230,2
13231,Cluster 13231,5
13232,Cluster 13232,2
13233,Cluster 13233,3
13234,Cluster 13234,1
13235,Cluster 13235,4
13236,Cluster 13236,3
13237,Cluster 13237,2
13238,Cluster 13238,4
13239,Cluster 13239,5
13240,Cluster 13240,1
13241,Cluster 13241,2
13242,Cluster 13242,5
13243,Cluster 13243,2
13244,Cluster 13244,1
13245,Cluster 13245,1
13246,Cluster 13246,1
13247,Cluster 13247,1
13248,Cluster 13248,2
13249,Cluster 13249,3
13250,Cluster 13250,1
13251,Cluster 13251,2
13252,Cluster 13252,1
13253,Cluster 13253,2
13254,Cluster 13254,4
13255,Cluster 13255,1
13256,Cluster 13256,1
13257,Cluster 13257,1
13258,Cluster 13258,1
13259,Cluster 13259,1
13260,Cluster 13260,1
13261,Cluster 13261,20
13262,Cluster 13262,36
13263,Cluster 13263,56
13264,Cluster 13264,22
13265,Cluster 13265,61
13266,Cluster 13266,12
13267,Cluster 13267,63
13268,Cluster 13268,3
13269,Cluster 13269,82
13270,Cluster 13270,2
13271,Cluster 13271,3
13272,Cluster 13272,2
13273,Cluster 13273,2
13274,Cluster 13274,3
13275,Cluster 13275,33
13276,Cluster 13276,36
13277,Cluster 13277,3
13278,Cluster 13278,6
13279,Cluster 13279,1
13280,Cluster 13280,15
13281,Cluster 13281,18
13282,Cluster 13282,15
13283,Cluster 13283,15
13284,Cluster 13284,23
13285,Cluster 13285,12
13286,Cluster 13286,2
13287,Cluster 13287,4
13288,Cluster 13288,1
13289,Cluster 13289,6
13290,Cluster 13290,8
13291,Cluster 13291,1
13292,Cluster 13292,6
13293,Cluster 13293,4
13294,Cluster 13294,11
13295,Cluster 13295,1
13296,Cluster 13296,3
13297,Cluster 13297,8
13298,Cluster 13298,8
13299,Cluster 13299,1
13300,Cluster 13300,2
13301,Cluster 13301,1
13302,Cluster 13302,2
13303,Cluster 13303,2
13304,Cluster 13304,1
13305,Cluster 13305,3
13306,Cluster 13306,4
13307,Cluster 13307,2
13308,Cluster 13308,3
13309,Cluster 13309,2
13310,Cluster 13310,1
13311,Cluster 13311,1
13312,Cluster 13312,1
13313,Cluster 13313,2
13314,Cluster 13314,2
13315,Cluster 13315,1
13316,Cluster 13316,2
13317,Cluster 13317,1
13318,Cluster 13318,1
13319,Cluster 13319,2
13320,Cluster 13320,1
13321,Cluster 13321,2
13322,Cluster 13322,6
13323,Cluster 13323,1
13324,Cluster 13324,1
13325,Cluster 13325,1
13326,Cluster 13326,1
13327,Cluster 13327,1
13328,Cluster 13328,1
13329,Cluster 13329,1
13330,Cluster 13330,1
13331,Cluster 13331,1
13332,Cluster 13332,55
13333,Cluster 13333,5
13334,Cluster 13334,63
13335,Cluster 13335,63
13336,Cluster 13336,54
13337,Cluster 13337,32
13338,Cluster 13338,2
13339,Cluster 13339,21
13340,Cluster 13340,46
13341,Cluster 13341,26
13342,Cluster 13342,13
13343,Cluster 13343,15
13344,Cluster 13344,23
13345,Cluster 13345,1
13346,Cluster 13346,1
13347,Cluster 13347,1
13348,Cluster 13348,1
13349,Cluster 13349,7
13350,Cluster 13350,2
13351,Cluster 13351,1
13352,Cluster 13352,5
13353,Cluster 13353,4
13354,Cluster 13354,3
13355,Cluster 13355,3
13356,Cluster 13356,5
13357,Cluster 13357,1
13358,Cluster 13358,1
13359,Cluster 13359,14
13360,Cluster 13360,2
13361,Cluster 13361,1
13362,Cluster 13362,3
13363,Cluster 13363,1
13364,Cluster 13364,3
13365,Cluster 13365,1
13366,Cluster 13366,1
13367,Cluster 13367,1
13368,Cluster 13368,1
13369,Cluster 13369,3
13370,Cluster 13370,4
13371,Cluster 13371,1
13372,Cluster 13372,2
13373,Cluster 13373,1
13374,Cluster 13374,1
13375,Cluster 13375,1
13376,Cluster 13376,1
13377,Cluster 13377,1
13378,Cluster 13378,1
13379,Cluster 13379,1
13380,Cluster 13380,1
13381,Cluster 13381,1
13382,Cluster 13382,1
13383,Cluster 13383,63
13384,Cluster 13384,63
13385,Cluster 13385,63
13386,Cluster 13386,63
13387,Cluster 13387,63
13388,Cluster 13388,63
13389,Cluster 13389,63
13390,Cluster 13390,20
13391,Cluster 13391,39
13392,Cluster 13392,8
13393,Cluster 13393,12
13394,Cluster 13394,2
13395,Cluster 13395,7
13396,Cluster 13396,6
13397,Cluster 13397,15
13398,Cluster 13398,7
13399,Cluster 13399,1
13400,Cluster 13400,1
13401,Cluster 13401,1
13402,Cluster 13402,8
13403,Cluster 13403,1
13404,Cluster 13404,8
13405,Cluster 13405,4
13406,Cluster 13406,9
13407,Cluster 13407,4
13408,Cluster 13408,4
13409,Cluster 13409,5
13410,Cluster 13410,1
13411,Cluster 13411,8
13412,Cluster 13412,3
13413,Cluster 13413,1
13414,Cluster 13414,3
13415,Cluster 13415,6
13416,Cluster 13416,3
13417,Cluster 13417,68
13418,Cluster 13418,1
13419,Cluster 13419,1
13420,Cluster 13420,1
13421,Cluster 13421,1
13422,Cluster 13422,2
13423,Cluster 13423,2
13424,Cluster 13424,3
13425,Cluster 13425,2
13426,Cluster 13426,3
13427,Cluster 13427,1
13428,Cluster 13428,1
13429,Cluster 13429,1
13430,Cluster 13430,1
13431,Cluster 13431,1
13432,Cluster 13432,5
13433,Cluster 13433,63
13434,Cluster 13434,63
13435,Cluster 13435,66
13436,Cluster 13436,63
13437,Cluster 13437,24
13438,Cluster 13438,7
13439,Cluster 13439,2
13440,Cluster 13440,2
13441,Cluster 13441,1
13442,Cluster 13442,1
13443,Cluster 13443,15
13444,Cluster 13444,15
13445,Cluster 13445,7
13446,Cluster 13446,1
13447,Cluster 13447,3
13448,Cluster 13448,6
13449,Cluster 13449,3
13450,Cluster 13450,3
13451,Cluster 13451,1
13452,Cluster 13452,29
13453,Cluster 13453,24
13454,Cluster 13454,8
13455,Cluster 13455,9
13456,Cluster 13456,3
13457,Cluster 13457,6
13458,Cluster 13458,9
13459,Cluster 13459,16
13460,Cluster 13460,3
13461,Cluster 13461,5
13462,Cluster 13462,1
13463,Cluster 13463,1
13464,Cluster 13464,2
13465,Cluster 13465,1
13466,Cluster 13466,2
13467,Cluster 13467,5
13468,Cluster 13468,1
13469,Cluster 13469,2
13470,Cluster 13470,6
13471,Cluster 13471,1
13472,Cluster 13472,2
13473,Cluster 13473,5
13474,Cluster 13474,5
13475,Cluster 13475,1
13476,Cluster 13476,1
13477,Cluster 13477,1
13478,Cluster 13478,2
13479,Cluster 13479,1
13480,Cluster 13480,1
13481,Cluster 13481,1
13482,Cluster 13482,1
13483,Cluster 13483,63
13484,Cluster 13484,187
13485,Cluster 13485,63
13486,Cluster 13486,7
13487,Cluster 13487,5
13488,Cluster 13488,27
13489,Cluster 13489,8
13490,Cluster 13490,58
13491,Cluster 13491,24
13492,Cluster 13492,9
13493,Cluster 13493,8
13494,Cluster 13494,29
13495,Cluster 13495,2
13496,Cluster 13496,2
13497,Cluster 13497,2
13498,Cluster 13498,4
13499,Cluster 13499,2
13500,Cluster 13500,8
13501,Cluster 13501,19
13502,Cluster 13502,5
13503,Cluster 13503,3
13504,Cluster 13504,29
13505,Cluster 13505,15
13506,Cluster 13506,10
13507,Cluster 13507,2
13508,Cluster 13508,1
13509,Cluster 13509,2
13510,Cluster 13510,1
13511,Cluster 13511,1
13512,Cluster 13512,5
13513,Cluster 13513,3
13514,Cluster 13514,5
13515,Cluster 13515,1
13516,Cluster 13516,4
13517,Cluster 13517,5
13518,Cluster 13518,1
13519,Cluster 13519,35
13520,Cluster 13520,1
13521,Cluster 13521,6
13522,Cluster 13522,1
13523,Cluster 13523,6
13524,Cluster 13524,1
13525,Cluster 13525,2
13526,Cluster 13526,1
13527,Cluster 13527,5
13528,Cluster 13528,3
13529,Cluster 13529,3
13530,Cluster 13530,1
13531,Cluster 13531,1
13532,Cluster 13532,1
13533,Cluster 13533,5
13534,Cluster 13534,1
13535,Cluster 13535,24
13536,Cluster 13536,3
13537,Cluster 13537,1
13538,Cluster 13538,1
13539,Cluster 13539,12
13540,Cluster 13540,2
13541,Cluster 13541,1
13542,Cluster 13542,1
13543,Cluster 13543,1
13544,Cluster 13544,32
13545,Cluster 13545,1
13546,Cluster 13546,1
13547,Cluster 13547,1
13548,Cluster 13548,1
13549,Cluster 13549,1
13550,Cluster 13550,1
13551,Cluster 13551,29
13552,Cluster 13552,63
13553,Cluster 13553,63
13554,Cluster 13554,63
13555,Cluster 13555,63
13556,Cluster 13556,48
13557,Cluster 13557,63
13558,Cluster 13558,39
13559,Cluster 13559,63
13560,Cluster 13560,63
13561,Cluster 13561,63
13562,Cluster 13562,8
13563,Cluster 13563,63
13564,Cluster 13564,63
13565,Cluster 13565,63
13566,Cluster 13566,63
13567,Cluster 13567,54
13568,Cluster 13568,30
13569,Cluster 13569,32
13570,Cluster 13570,14
13571,Cluster 13571,8
13572,Cluster 13572,18
13573,Cluster 13573,2
13574,Cluster 13574,7
13575,Cluster 13575,3
13576,Cluster 13576,1
13577,Cluster 13577,8
13578,Cluster 13578,2
13579,Cluster 13579,5
13580,Cluster 13580,6
13581,Cluster 13581,5
13582,Cluster 13582,1
13583,Cluster 13583,4
13584,Cluster 13584,8
13585,Cluster 13585,4
13586,Cluster 13586,4
13587,Cluster 13587,1
13588,Cluster 13588,2
13589,Cluster 13589,1
13590,Cluster 13590,2
13591,Cluster 13591,1
13592,Cluster 13592,1
13593,Cluster 13593,2
13594,Cluster 13594,2
13595,Cluster 13595,2
13596,Cluster 13596,4
13597,Cluster 13597,1
13598,Cluster 13598,13
13599,Cluster 13599,1
13600,Cluster 13600,1
13601,Cluster 13601,1
13602,Cluster 13602,1
13603,Cluster 13603,1
13604,Cluster 13604,1
13605,Cluster 13605,3
13606,Cluster 13606,1
13607,Cluster 13607,2
13608,Cluster 13608,6
13609,Cluster 13609,1
13610,Cluster 13610,1
13611,Cluster 13611,1
13612,Cluster 13612,1
13613,Cluster 13613,1
13614,Cluster 13614,37
13615,Cluster 13615,44
13616,Cluster 13616,63
13617,Cluster 13617,63
13618,Cluster 13618,16
13619,Cluster 13619,63
13620,Cluster 13620,60
13621,Cluster 13621,7
13622,Cluster 13622,43
13623,Cluster 13623,13
13624,Cluster 13624,2
13625,Cluster 13625,13
13626,Cluster 13626,19
13627,Cluster 13627,2
13628,Cluster 13628,2
13629,Cluster 13629,64
13630,Cluster 13630,7
13631,Cluster 13631,1
13632,Cluster 13632,2
13633,Cluster 13633,21
13634,Cluster 13634,25
13635,Cluster 13635,15
13636,Cluster 13636,18
13637,Cluster 13637,19
13638,Cluster 13638,11
13639,Cluster 13639,10
13640,Cluster 13640,22
13641,Cluster 13641,4
13642,Cluster 13642,4
13643,Cluster 13643,5
13644,Cluster 13644,6
13645,Cluster 13645,2
13646,Cluster 13646,1
13647,Cluster 13647,1
13648,Cluster 13648,1
13649,Cluster 13649,7
13650,Cluster 13650,4
13651,Cluster 13651,30
13652,Cluster 13652,5
13653,Cluster 13653,12
13654,Cluster 13654,6
13655,Cluster 13655,5
13656,Cluster 13656,6
13657,Cluster 13657,2
13658,Cluster 13658,1
13659,Cluster 13659,1
13660,Cluster 13660,1
13661,Cluster 13661,1
13662,Cluster 13662,1
13663,Cluster 13663,6
13664,Cluster 13664,1
13665,Cluster 13665,3
13666,Cluster 13666,1
13667,Cluster 13667,5
13668,Cluster 13668,2
13669,Cluster 13669,1
13670,Cluster 13670,2
13671,Cluster 13671,1
13672,Cluster 13672,2
13673,Cluster 13673,1
13674,Cluster 13674,1
13675,Cluster 13675,1
13676,Cluster 13676,44
13677,Cluster 13677,1
13678,Cluster 13678,1
13679,Cluster 13679,1
13680,Cluster 13680,63
13681,Cluster 13681,62
13682,Cluster 13682,15
13683,Cluster 13683,9
13684,Cluster 13684,63
13685,Cluster 13685,63
13686,Cluster 13686,26
13687,Cluster 13687,63
13688,Cluster 13688,2
13689,Cluster 13689,7
13690,Cluster 13690,20
13691,Cluster 13691,2
13692,Cluster 13692,2
13693,Cluster 13693,78
13694,Cluster 13694,17
13695,Cluster 13695,5
13696,Cluster 13696,1
13697,Cluster 13697,1
13698,Cluster 13698,16
13699,Cluster 13699,23
13700,Cluster 13700,2
13701,Cluster 13701,19
13702,Cluster 13702,15
13703,Cluster 13703,1
13704,Cluster 13704,5
13705,Cluster 13705,1
13706,Cluster 13706,1
13707,Cluster 13707,1
13708,Cluster 13708,1
13709,Cluster 13709,3
13710,Cluster 13710,2
13711,Cluster 13711,5
13712,Cluster 13712,4
13713,Cluster 13713,2
13714,Cluster 13714,3
13715,Cluster 13715,2
13716,Cluster 13716,1
13717,Cluster 13717,1
13718,Cluster 13718,5
13719,Cluster 13719,1
13720,Cluster 13720,1
13721,Cluster 13721,3
13722,Cluster 13722,1
13723,Cluster 13723,2
13724,Cluster 13724,4
13725,Cluster 13725,1
13726,Cluster 13726,2
13727,Cluster 13727,1
13728,Cluster 13728,1
13729,Cluster 13729,1
13730,Cluster 13730,1
13731,Cluster 13731,1
13732,Cluster 13732,1
13733,Cluster 13733,1
13734,Cluster 13734,63
13735,Cluster 13735,4
13736,Cluster 13736,126
13737,Cluster 13737,36
13738,Cluster 13738,63
13739,Cluster 13739,63
13740,Cluster 13740,8
13741,Cluster 13741,6
13742,Cluster 13742,63
13743,Cluster 13743,2
13744,Cluster 13744,19
13745,Cluster 13745,2
13746,Cluster 13746,6
13747,Cluster 13747,6
13748,Cluster 13748,10
13749,Cluster 13749,2
13750,Cluster 13750,20
13751,Cluster 13751,1
13752,Cluster 13752,1
13753,Cluster 13753,9
13754,Cluster 13754,2
13755,Cluster 13755,11
13756,Cluster 13756,4
13757,Cluster 13757,4
13758,Cluster 13758,5
13759,Cluster 13759,26
13760,Cluster 13760,4
13761,Cluster 13761,2
13762,Cluster 13762,4
13763,Cluster 13763,15
13764,Cluster 13764,2
13765,Cluster 13765,4
13766,Cluster 13766,3
13767,Cluster 13767,3
13768,Cluster 13768,1
13769,Cluster 13769,2
13770,Cluster 13770,2
13771,Cluster 13771,2
13772,Cluster 13772,3
13773,Cluster 13773,3
13774,Cluster 13774,4
13775,Cluster 13775,1
13776,Cluster 13776,1
13777,Cluster 13777,1
13778,Cluster 13778,20
13779,Cluster 13779,1
13780,Cluster 13780,2
13781,Cluster 13781,2
13782,Cluster 13782,2
13783,Cluster 13783,2
13784,Cluster 13784,2
13785,Cluster 13785,1
13786,Cluster 13786,1
13787,Cluster 13787,1
13788,Cluster 13788,1
13789,Cluster 13789,43
13790,Cluster 13790,32
13791,Cluster 13791,136
13792,Cluster 13792,63
13793,Cluster 13793,6
13794,Cluster 13794,63
13795,Cluster 13795,18
13796,Cluster 13796,2
13797,Cluster 13797,10
13798,Cluster 13798,1
13799,Cluster 13799,29
13800,Cluster 13800,18
13801,Cluster 13801,15
13802,Cluster 13802,10
13803,Cluster 13803,2
13804,Cluster 13804,3
13805,Cluster 13805,3
13806,Cluster 13806,5
13807,Cluster 13807,1
13808,Cluster 13808,53
13809,Cluster 13809,23
13810,Cluster 13810,28
13811,Cluster 13811,1
13812,Cluster 13812,5
13813,Cluster 13813,2
13814,Cluster 13814,3
13815,Cluster 13815,1
13816,Cluster 13816,14
13817,Cluster 13817,2
13818,Cluster 13818,2
13819,Cluster 13819,6
13820,Cluster 13820,1
13821,Cluster 13821,2
13822,Cluster 13822,5
13823,Cluster 13823,1
13824,Cluster 13824,1
13825,Cluster 13825,1
13826,Cluster 13826,1
13827,Cluster 13827,5
13828,Cluster 13828,1
13829,Cluster 13829,1
13830,Cluster 13830,3
13831,Cluster 13831,3
13832,Cluster 13832,1
13833,Cluster 13833,1
13834,Cluster 13834,2
13835,Cluster 13835,13
13836,Cluster 13836,1
13837,Cluster 13837,2
13838,Cluster 13838,1
13839,Cluster 13839,1
13840,Cluster 13840,1
13841,Cluster 13841,1
13842,Cluster 13842,1
13843,Cluster 13843,2
13844,Cluster 13844,1
13845,Cluster 13845,1
13846,Cluster 13846,1
13847,Cluster 13847,63
13848,Cluster 13848,63
13849,Cluster 13849,12
13850,Cluster 13850,63
13851,Cluster 13851,22
13852,Cluster 13852,63
13853,Cluster 13853,63
13854,Cluster 13854,21
13855,Cluster 13855,15
13856,Cluster 13856,2
13857,Cluster 13857,2
13858,Cluster 13858,66
13859,Cluster 13859,19
13860,Cluster 13860,2
13861,Cluster 13861,5
13862,Cluster 13862,7
13863,Cluster 13863,1
13864,Cluster 13864,1
13865,Cluster 13865,10
13866,Cluster 13866,25
13867,Cluster 13867,20
13868,Cluster 13868,18
13869,Cluster 13869,12
13870,Cluster 13870,20
13871,Cluster 13871,9
13872,Cluster 13872,4
13873,Cluster 13873,2
13874,Cluster 13874,2
13875,Cluster 13875,5
13876,Cluster 13876,6
13877,Cluster 13877,2
13878,Cluster 13878,1
13879,Cluster 13879,26
13880,Cluster 13880,2
13881,Cluster 13881,1
13882,Cluster 13882,5
13883,Cluster 13883,1
13884,Cluster 13884,14
13885,Cluster 13885,1
13886,Cluster 13886,1
13887,Cluster 13887,1
13888,Cluster 13888,1
13889,Cluster 13889,1
13890,Cluster 13890,3
13891,Cluster 13891,1
13892,Cluster 13892,1
13893,Cluster 13893,1
13894,Cluster 13894,3
13895,Cluster 13895,1
13896,Cluster 13896,1
13897,Cluster 13897,1
13898,Cluster 13898,2
13899,Cluster 13899,1
13900,Cluster 13900,3
13901,Cluster 13901,1
13902,Cluster 13902,1
13903,Cluster 13903,1
13904,Cluster 13904,2
13905,Cluster 13905,2
13906,Cluster 13906,1
13907,Cluster 13907,1
13908,Cluster 13908,1
13909,Cluster 13909,1
13910,Cluster 13910,1
13911,Cluster 13911,63
13912,Cluster 13912,63
13913,Cluster 13913,38
13914,Cluster 13914,63
13915,Cluster 13915,63
13916,Cluster 13916,1
13917,Cluster 13917,54
13918,Cluster 13918,63
13919,Cluster 13919,63
13920,Cluster 13920,6
13921,Cluster 13921,10
13922,Cluster 13922,16
13923,Cluster 13923,1
13924,Cluster 13924,1
13925,Cluster 13925,21
13926,Cluster 13926,6
13927,Cluster 13927,2
13928,Cluster 13928,1
13929,Cluster 13929,6
13930,Cluster 13930,5
13931,Cluster 13931,1
13932,Cluster 13932,5
13933,Cluster 13933,10
13934,Cluster 13934,5
13935,Cluster 13935,5
13936,Cluster 13936,20
13937,Cluster 13937,5
13938,Cluster 13938,1
13939,Cluster 13939,7
13940,Cluster 13940,6
13941,Cluster 13941,1
13942,Cluster 13942,1
13943,Cluster 13943,1
13944,Cluster 13944,3
13945,Cluster 13945,2
13946,Cluster 13946,1
13947,Cluster 13947,3
13948,Cluster 13948,3
13949,Cluster 13949,1
13950,Cluster 13950,1
13951,Cluster 13951,1
13952,Cluster 13952,1
13953,Cluster 13953,2
13954,Cluster 13954,3
13955,Cluster 13955,1
13956,Cluster 13956,1
13957,Cluster 13957,2
13958,Cluster 13958,1
13959,Cluster 13959,3
13960,Cluster 13960,2
13961,Cluster 13961,1
13962,Cluster 13962,1
13963,Cluster 13963,1
13964,Cluster 13964,1
13965,Cluster 13965,1
13966,Cluster 13966,1
13967,Cluster 13967,1
13968,Cluster 13968,63
13969,Cluster 13969,63
13970,Cluster 13970,63
13971,Cluster 13971,63
13972,Cluster 13972,2
13973,Cluster 13973,14
13974,Cluster 13974,2
13975,Cluster 13975,32
13976,Cluster 13976,1
13977,Cluster 13977,16
13978,Cluster 13978,17
13979,Cluster 13979,20
13980,Cluster 13980,11
13981,Cluster 13981,8
13982,Cluster 13982,2
13983,Cluster 13983,3
13984,Cluster 13984,5
13985,Cluster 13985,1
13986,Cluster 13986,1
13987,Cluster 13987,6
13988,Cluster 13988,1
13989,Cluster 13989,1
13990,Cluster 13990,9
13991,Cluster 13991,5
13992,Cluster 13992,3
13993,Cluster 13993,1
13994,Cluster 13994,1
13995,Cluster 13995,1
13996,Cluster 13996,3
13997,Cluster 13997,15
13998,Cluster 13998,1
13999,Cluster 13999,2
14000,Cluster 14000,3
14001,Cluster 14001,1
14002,Cluster 14002,3
14003,Cluster 14003,1
14004,Cluster 14004,9
14005,Cluster 14005,2
14006,Cluster 14006,2
14007,Cluster 14007,1
14008,Cluster 14008,1
14009,Cluster 14009,1
14010,Cluster 14010,2
14011,Cluster 14011,1
14012,Cluster 14012,5
14013,Cluster 14013,3
14014,Cluster 14014,2
14015,Cluster 14015,3
14016,Cluster 14016,1
14017,Cluster 14017,1
14018,Cluster 14018,1
14019,Cluster 14019,1
14020,Cluster 14020,1
14021,Cluster 14021,1
14022,Cluster 14022,1
14023,Cluster 14023,3
14024,Cluster 14024,2
14025,Cluster 14025,1
14026,Cluster 14026,1
14027,Cluster 14027,7
14028,Cluster 14028,17
14029,Cluster 14029,17
14030,Cluster 14030,46
14031,Cluster 14031,20
14032,Cluster 14032,5
14033,Cluster 14033,4
14034,Cluster 14034,36
14035,Cluster 14035,4
14036,Cluster 14036,23
14037,Cluster 14037,5
14038,Cluster 14038,6
14039,Cluster 14039,1
14040,Cluster 14040,1
14041,Cluster 14041,1
14042,Cluster 14042,5
14043,Cluster 14043,1
14044,Cluster 14044,1
14045,Cluster 14045,1
14046,Cluster 14046,1
14047,Cluster 14047,5
14048,Cluster 14048,1
14049,Cluster 14049,1
14050,Cluster 14050,2
14051,Cluster 14051,1
14052,Cluster 14052,1
14053,Cluster 14053,2
14054,Cluster 14054,1
14055,Cluster 14055,1
14056,Cluster 14056,1
14057,Cluster 14057,3
14058,Cluster 14058,1
14059,Cluster 14059,3
14060,Cluster 14060,1
14061,Cluster 14061,1
14062,Cluster 14062,1
14063,Cluster 14063,1
